CATEGORY | BRAND | MODEL | BASE_MODEL | VARIANT | SOURCE | FILE
------------------------------------------------------------------------------------------------------------------------
mouse | Alienware | AW610M | AW610M | (none) | override | mouse/alienware/aw610m.json
mouse | Alienware | AW620M | AW620M | (none) | override | mouse/alienware/aw620m.json
mouse | Alienware | Alienware Pro | Alienware Pro | (none) | no-variant | mouse/alienware/alienware-pro.json
mouse | Alienware | AW720M | AW720M | (none) | override | mouse/alienware/aw720m.json
mouse | Alienware | AW320M | AW320M | (none) | override | mouse/alienware/aw320m.json
mouse | Acer | Cestus 310 | Cestus | 310 | override | mouse/acer/cestus-310.json
mouse | Acer | Cestus 330 | Cestus | 330 | override | mouse/acer/cestus-330.json
mouse | Acer | Cestus 335 | Cestus | 335 | override | mouse/acer/cestus-335.json
mouse | Acer | Cestus 350 | Cestus | 350 | override | mouse/acer/cestus-350.json
mouse | Aorus | M2 | M2 | (none) | no-variant | mouse/aorus/m2.json
mouse | Aorus | M3 | M3 | (none) | no-variant | mouse/aorus/m3.json
mouse | Aorus | M4 | M4 | (none) | no-variant | mouse/aorus/m4.json
mouse | Aorus | M5 | M5 | (none) | no-variant | mouse/aorus/m5.json
mouse | Aorus | M6 | M6 | (none) | no-variant | mouse/aorus/m6.json
mouse | Cooler Master | MM310 | MM310 | (none) | no-variant | mouse/cooler-master/mm310.json
mouse | Cooler Master | MM311 | MM311 | (none) | no-variant | mouse/cooler-master/mm311.json
mouse | Cooler Master | MM711 Wired | MM711 | Wired | auto | mouse/cooler-master/mm711-wired.json
mouse | Cooler Master | MM712 Wired | MM712 | Wired | auto | mouse/cooler-master/mm712-wired.json
mouse | Cooler Master | MM712 | MM712 | (none) | no-variant | mouse/cooler-master/mm712.json
mouse | Cooler Master | MM712 30th Anniversary Edition | MM712 | 30th Anniversary Edition | auto | mouse/cooler-master/mm712-30th-anniversary-edition.json
mouse | Corsair | M55 Wired | M55 | Wired | auto | mouse/corsair/m55-wired.json
mouse | Corsair | M55 Wireless | M55 | Wireless | auto | mouse/corsair/m55-wireless.json
mouse | Corsair | M55 RGB Pro | M55 | RGB Pro | auto | mouse/corsair/m55-rgb-pro.json
mouse | Corsair | M75 Air Wireless | M75 | Air Wireless | auto | mouse/corsair/m75-air-wireless.json
mouse | Corsair | M75 Wireless | M75 | Wireless | auto | mouse/corsair/m75-wireless.json
